Rank,Country,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Quality of Life Index,Safety Index,Health Care Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
97,Mexico,49.33701657,28.67150363,48.30723341,48.82943144,39.92170343,68.92842607,82.3876857,92.59210353,125.6772674,97.23525056,254.1330258,91.50583245
105,Moldova,46.54696133,21.01576182,38.71737509,42.24688355,26.32483529,,,,,,,
90,Montenegro,52.8038674,25.96947711,42.699478,50.41045911,38.00248257,,,,,,,
104,Morocco,47.40331492,22.36677508,44.90678598,37.24536333,33.65797766,61.31751846,91.83819581,60.37237554,167.0200236,91.06393483,271.5878508,97.24284199
75,Myanmar,58.16298343,59.49462097,66.63683818,28.94496808,9.75842643,,,,,,,
71,Namibia,59.53038674,40.33024769,54.88441462,59.62298571,53.13663707,,,,,,,
122,Nepal,40.12430939,11.93395046,37.15137957,30.95165704,20.91091378,,,,,,,
15,Netherlands,101.8646409,88.01601201,83.32587621,122.347218,86.63229256,106.7910925,129.5507428,98.57388089,88.45700824,72.64872871,105.3825452,92.90562036
17,New Zealand,100.179558,80.28521391,96.48023863,104.5910611,88.47512652,105.2503053,105.7275819,97.46467714,100.3533569,76.77116761,89.96539792,101.2301166
64,Nicaragua,61.54696133,19.03927946,62.20730798,47.75007601,22.83968299,,,,,,,
115,Nigeria,42.81767956,59.01926445,46.45786726,26.92307692,12.90938604,32.35653236,64.84696617,68.12359699,196.7020024,150.7775858,336.9088812,64.42205726
113,Macedonia,43.63259669,16.23717788,37.1961223,35.43630283,35.47216652,64.22466422,109.7726866,74.44869933,148.409894,68.15601086,308.4582853,80.91198303
2,Norway,140.0966851,90.44283212,135.9284116,166.1295227,84.38842738,101.8605733,115.5718633,98.1909415,103.2979976,66.62552456,78.23913879,75.68398727
55,Oman,68.06629834,44.9837378,64.87695749,67.28488902,77.3130908,97.15099715,141.7755504,76.78595009,106.9493522,56.28239941,145.0980392,71.28313892
132,Pakistan,30.35911602,11.48361271,28.45637584,25.50927334,29.18934403,61.30588988,100.0894935,80.00792288,141.1071849,95.18637373,285.467128,76.27783669
